2026-02-13 23:01:08,791 | INFO | backend.speech.transcriber_stream | Requesting Whisper model 'tiny'...
2026-02-13 23:01:08,792 | INFO | backend.speech.model_loader | Loading Whisper Model: tiny...
2026-02-13 23:13:58,929 | INFO | backend.speech.transcriber_stream | Requesting Whisper model 'tiny'...
2026-02-13 23:13:58,929 | INFO | backend.speech.model_loader | Loading Whisper Model: tiny...
2026-02-13 23:17:45,638 | INFO | backend.speech.transcriber_stream | Requesting Whisper model 'tiny'...
2026-02-13 23:17:45,638 | INFO | backend.speech.model_loader | Loading Whisper Model: tiny...
2026-02-13 23:21:16,100 | INFO | backend.speech.transcriber_stream | Requesting Whisper model 'tiny'...
2026-02-13 23:21:16,100 | INFO | backend.speech.model_loader | Loading Whisper Model: tiny...
2026-02-13 23:29:13,558 | INFO | backend.speech.model_loader | Model loaded. RAM increased by 87.74 MB. Total: 285.22 MB
2026-02-13 23:29:13,558 | INFO | backend.speech.transcriber_stream | Model ready in 1684.77s
2026-02-13 23:37:22,860 | INFO | backend.speech.model_loader | Model loaded. RAM increased by 78.34 MB. Total: 275.51 MB
2026-02-13 23:37:22,860 | INFO | backend.speech.transcriber_stream | Model ready in 1403.93s
2026-02-13 23:37:22,886 | INFO | backend.speech.model_loader | Model loaded. RAM increased by 88.46 MB. Total: 135.61 MB
2026-02-13 23:37:22,887 | INFO | backend.speech.transcriber_stream | Model ready in 1177.25s
2026-02-13 23:37:22,920 | INFO | backend.speech.model_loader | Model loaded. RAM increased by 77.50 MB. Total: 124.66 MB
2026-02-13 23:37:22,921 | INFO | backend.speech.transcriber_stream | Model ready in 966.82s
2026-02-13 23:59:48,452 | INFO | backend.speech.transcriber_stream | Requesting Whisper model 'tiny'...
2026-02-13 23:59:48,452 | INFO | backend.speech.model_loader | Loading Whisper Model: tiny...
2026-02-13 23:59:51,648 | INFO | backend.speech.model_loader | Model loaded. RAM increased by 75.38 MB. Total: 122.55 MB
2026-02-13 23:59:51,648 | INFO | backend.speech.transcriber_stream | Model ready in 3.20s
2026-02-14 00:29:40,838 | INFO | backend.speech.transcriber_stream | Requesting Whisper model 'tiny'...
2026-02-14 00:29:40,838 | INFO | backend.speech.model_loader | Loading Whisper Model: tiny...
2026-02-14 00:29:44,198 | INFO | backend.speech.model_loader | Model loaded. RAM increased by 74.90 MB. Total: 122.29 MB
2026-02-14 00:29:44,199 | INFO | backend.speech.transcriber_stream | Model ready in 3.36s
2026-02-14 02:09:33,832 | INFO | backend.main | Neuryx Backend Starting...
2026-02-14 02:09:33,832 | INFO | backend.main | Initial Memory Usage: 240.29 MB
2026-02-14 02:12:03,522 | INFO | backend.main | Starting batch recording...
2026-02-14 02:12:03,613 | INFO | backend.speech.audio_manager | Recording started...
2026-02-14 02:12:25,352 | INFO | backend.main | Stopping batch recording...
2026-02-14 02:12:25,386 | INFO | backend.speech.audio_manager | Recording saved to recordings\recording_20260214_021225.wav
2026-02-14 02:12:25,386 | INFO | backend.main | Transcribing file: recordings\recording_20260214_021225.wav
2026-02-14 02:12:25,386 | INFO | backend.speech.transcriber | Transcribing audio file: recordings\recording_20260214_021225.wav
2026-02-14 02:12:25,390 | INFO | backend.speech.model_loader | Loading Whisper Model: small...
2026-02-14 02:12:28,348 | INFO | backend.speech.model_loader | Model loaded. RAM increased by 276.05 MB. Total: 518.92 MB
2026-02-14 02:12:33,352 | INFO | backend.speech.transcriber | Transcription successful
2026-02-14 02:12:33,352 | INFO | backend.main | Batch transcription complete
